transaction_id,transaction_amount_usd,transaction_hour,day_of_week,device_type,merchant_category,channel,country,customer_tenure_months,prev_transactions_7d,previous_fraud_count,location_risk_score,is_international,distance_from_home_km,fraud
1,313.05,16,6,pos_terminal,gaming,card_present,EC,70,21,0,0.467,0,17.96,0
2,106.76,15,5,web,fuel,card_present,EC,6,19,0,0.247,0,62.83,0
3,447.17,9,3,web,grocery,ecommerce,EC,12,9,0,0.358,0,12.13,0
4,520.63,18,1,ios,fashion,atm,US,49,15,0,0.524,0,10.87,0
5,51.51,17,1,web,electronics,card_present,EC,86,10,0,0.195,0,38.79,0
6,86.56,7,3,web,fuel,ecommerce,EC,93,8,0,0.445,0,15.55,0
7,271.74,17,0,ios,grocery,card_present,EC,108,9,0,0.0,0,24.94,0
8,190.49,22,2,web,gaming,card_present,EC,23,11,0,0.578,0,12.44,0
9,242.05,19,1,pos_terminal,fuel,ecommerce,EC,24,8,0,0.25,0,1.86,0
10,123.98,17,0,android,restaurant,card_present,EC,65,14,0,0.335,0,9.88,0
11,495.77,18,0,ios,restaurant,ecommerce,EC,66,14,0,0.332,0,9.86,0
12,457.06,19,2,android,services,card_present,EC,4,14,0,0.175,0,7.29,0
13,258.63,6,2,ios,pharmacy,card_present,EC,54,16,0,0.161,0,1.23,0
14,604.49,17,2,web,gaming,ecommerce,ES,108,17,0,0.444,0,27.81,0
15,356.59,4,4,ios,pharmacy,ecommerce,CO,19,9,0,0.452,0,14.63,0
16,123.37,8,3,android,fashion,wallet,EC,99,15,0,0.191,0,41.73,0
17,329.5,22,1,web,grocery,ecommerce,ES,54,12,0,0.447,0,2.29,0
18,113.92,6,6,android,electronics,card_present,CO,63,16,0,0.45,1,65.81,0
19,495.39,20,5,ios,services,wallet,EC,77,8,0,0.282,0,24.75,0
20,235.72,10,3,android,services,ecommerce,ES,85,10,0,0.117,0,9.16,0
21,211.6,5,0,pos_terminal,electronics,card_present,EC,77,10,0,0.343,1,23.13,0
22,142.29,2,6,ios,electronics,wallet,EC,12,6,0,0.416,0,8.65,0
23,652.37,13,5,web,restaurant,ecommerce,EC,35,13,0,0.339,0,21.69,0
24,216.8,10,3,ios,restaurant,atm,EC,102,11,0,0.243,0,34.02,0
25,174.15,12,1,android,restaurant,ecommerce,EC,4,15,0,0.434,0,16.84,0
26,185.1,1,0,android,gaming,ecommerce,EC,86,14,0,0.578,0,15.01,0
27,375.57,6,2,ios,restaurant,ecommerce,EC,62,16,0,0.211,0,49.16,0
28,328.63,0,1,web,restaurant,ecommerce,EC,14,9,0,0.296,0,25.49,0
29,341.3,7,1,web,restaurant,card_present,EC,14,14,0,0.844,0,16.87,0
30,346.28,22,2,android,travel,card_present,EC,118,11,0,0.402,0,13.06,0
31,1360.9,3,0,ios,restaurant,card_present,EC,3,15,0,0.122,0,2.15,0
32,177.23,16,2,ios,fuel,card_present,ES,2,12,0,0.264,1,19.14,0
33,162.84,0,6,web,gaming,wallet,EC,2,14,0,0.214,0,28.76,0
34,127.94,13,6,web,services,card_present,US,76,12,0,0.418,1,43.91,0
35,401.56,22,0,ios,restaurant,wallet,PE,112,10,0,0.405,1,22.7,0
36,605.32,8,4,web,electronics,card_present,EC,20,15,0,0.235,0,26.15,0
37,223.95,4,6,web,pharmacy,ecommerce,EC,96,15,0,0.684,0,10.18,0
38,125.27,13,4,android,fuel,ecommerce,PE,87,17,0,0.365,0,2.9,0
39,126.85,6,2,ios,fashion,wallet,EC,27,12,0,0.268,0,20.05,0
40,412.84,21,3,web,restaurant,card_present,EC,8,13,0,0.13,0,5.76,0
41,444.61,20,1,android,fashion,ecommerce,US,59,10,0,0.189,0,36.58,0
42,378.84,15,2,android,pharmacy,wallet,EC,9,15,0,0.126,0,5.44,0
43,144.05,15,6,web,fashion,card_present,EC,13,10,0,0.316,0,10.13,0
44,295.4,14,4,ios,fashion,card_present,EC,56,8,0,0.191,0,29.56,0
45,269.33,17,3,android,pharmacy,card_present,CO,98,9,0,0.491,0,42.2,0
46,292.23,11,0,web,electronics,card_present,EC,120,6,0,0.245,0,29.18,0
47,492.62,23,6,android,restaurant,card_present,CO,75,8,0,0.501,0,0.08,0
48,293.38,8,1,web,fashion,ecommerce,EC,33,8,0,0.438,0,6.46,0
49,422.3,0,5,android,fashion,card_present,PE,39,19,0,0.466,1,9.92,0
50,258.95,16,2,web,grocery,ecommerce,EC,74,9,0,0.511,0,2.43,0
51,309.17,15,1,web,grocery,ecommerce,ES,20,7,0,0.709,0,36.69,0
52,406.51,23,1,android,restaurant,ecommerce,PE,62,7,0,0.197,0,2.81,0
53,76.47,9,2,web,restaurant,wallet,EC,93,15,0,0.502,0,12.88,0
54,189.97,10,4,web,services,ecommerce,EC,101,14,0,0.422,0,14.08,0
55,168.39,13,2,web,electronics,card_present,US,7,17,0,0.541,0,0.04,0
56,147.15,9,0,android,grocery,card_present,EC,34,16,0,0.37,0,12.49,0
57,196.86,18,1,web,travel,ecommerce,EC,30,8,0,0.562,0,15.0,1
58,811.22,10,1,pos_terminal,grocery,ecommerce,EC,67,11,0,0.118,0,28.86,0
59,122.72,18,2,web,electronics,ecommerce,EC,22,12,0,0.169,0,29.51,0
60,532.3,10,6,pos_terminal,restaurant,wallet,EC,115,8,0,0.248,0,30.11,0
61,63.83,5,6,ios,fashion,ecommerce,EC,110,8,0,0.337,0,6.56,1
62,187.67,23,6,web,fashion,ecommerce,EC,40,25,1,0.358,0,53.95,0
63,279.44,12,0,ios,pharmacy,card_present,US,49,9,0,0.217,0,23.4,0
64,392.12,16,3,android,fashion,wallet,EC,53,14,0,0.172,0,19.78,0
65,433.36,14,0,web,grocery,card_present,EC,5,16,0,0.232,0,29.08,0
66,462.79,8,3,ios,electronics,card_present,EC,107,10,0,0.042,0,13.82,0
67,185.6,23,4,pos_terminal,services,wallet,EC,94,16,0,0.298,0,3.16,0
68,169.47,8,5,web,electronics,card_present,EC,40,15,0,0.339,0,27.44,0
69,487.34,23,2,web,fashion,card_present,EC,66,12,0,0.429,0,7.94,0
70,210.51,10,0,web,grocery,card_present,EC,46,5,0,0.38,0,3.19,0
71,88.41,0,3,web,restaurant,card_present,EC,27,13,0,0.673,0,27.03,0
72,99.08,0,2,ios,electronics,card_present,US,36,10,0,0.496,0,19.75,0
73,117.57,23,4,web,electronics,ecommerce,EC,12,7,0,0.483,0,12.52,0
74,365.15,12,0,android,restaurant,card_present,EC,97,14,0,0.416,0,13.56,0
75,274.93,9,4,ios,fuel,wallet,EC,79,13,0,0.446,0,7.63,0
76,426.23,19,2,android,restaurant,card_present,EC,112,9,1,0.31,0,33.32,0
77,174.3,14,5,web,travel,ecommerce,EC,0,13,0,0.368,0,64.25,0
78,278.5,15,6,ios,services,ecommerce,EC,76,8,0,0.696,0,19.32,0
79,404.66,16,1,pos_terminal,electronics,card_present,US,67,20,0,0.337,0,44.05,0
80,191.54,4,5,web,travel,card_present,EC,75,11,0,0.11,0,1.08,0
81,353.54,2,0,web,grocery,ecommerce,EC,119,10,0,0.475,0,5.04,0
82,144.47,17,6,android,travel,card_present,EC,47,15,0,0.508,0,7.7,0
83,183.49,0,3,web,travel,card_present,EC,17,11,1,0.378,0,10.96,0
84,180.76,17,5,web,fuel,ecommerce,EC,1,10,0,0.012,0,4.66,0
85,94.25,3,5,ios,fashion,card_present,EC,59,10,0,0.582,0,34.15,0
86,362.19,6,4,ios,grocery,wallet,EC,21,12,0,0.391,0,37.07,0
87,168.52,16,2,web,services,card_present,EC,17,13,0,0.294,1,0.74,1
88,247.79,14,5,android,electronics,card_present,EC,17,10,0,0.564,0,3.9,0
89,360.39,18,3,ios,electronics,ecommerce,PE,33,10,0,0.0,0,11.95,0
90,350.66,14,4,web,gaming,card_present,EC,14,17,0,0.37,0,17.85,0
91,417.75,1,4,ios,restaurant,wallet,EC,58,16,0,0.253,0,26.67,0
92,226.74,20,3,web,gaming,card_present,EC,79,13,0,0.619,0,2.02,1
93,174.85,5,0,ios,electronics,ecommerce,EC,35,9,0,0.394,0,6.99,0
94,230.17,3,2,ios,grocery,ecommerce,CO,16,7,0,0.194,0,45.87,0
95,63.61,21,6,pos_terminal,fashion,card_present,EC,69,13,0,0.555,0,5.04,0
96,77.08,4,3,android,electronics,atm,EC,10,18,0,0.0,0,2.37,0
97,85.15,12,4,android,fuel,ecommerce,EC,89,9,0,0.441,0,9.86,0
98,110.47,11,1,android,electronics,card_present,EC,46,11,0,0.123,0,13.95,0
99,337.78,18,4,pos_terminal,grocery,ecommerce,EC,49,14,0,0.267,0,26.52,0
100,118.89,1,3,android,travel,card_present,EC,30,17,0,0.307,1,0.91,0
101,181.28,2,1,android,electronics,card_present,EC,34,8,0,0.514,0,22.5,0
102,693.65,9,1,android,electronics,card_present,EC,17,14,0,0.747,0,62.11,1
103,184.49,11,2,web,electronics,card_present,EC,67,15,0,0.03,0,1.22,0
104,442.57,18,3,android,electronics,ecommerce,CO,17,8,0,0.43,0,31.12,0
105,116.24,14,1,android,fashion,wallet,EC,82,16,0,0.746,0,16.48,0
106,208.15,3,1,ios,restaurant,card_present,US,31,8,0,0.247,0,41.0,1
107,114.73,23,1,web,travel,card_present,EC,68,11,0,0.236,0,3.47,0
